Team,Trial,Modality,Chart Type,Task Type,Start,End
1,1,Hololens,ScatterPlot,Closed,0:00:14,0:02:14
1,2,Hololens,Network,Open,0:05:50,0:07:50
1,3,Hololens,BarChart,Closed,0:10:16,0:11:03
1,4,Hololens,ScatterPlot,Open,0:12:17,0:13:19
1,5,Hololens,Network,Closed,0:14:32,0:16:32
1,6,Hololens,BarChart,Closed,0:17:32,0:18:22
1,7,Hololens,ScatterPlot,Open,0:19:20,0:21:20
1,8,Hololens,Network,Open,0:22:20,0:24:20
1,9,Hololens,Network,Closed,0:26:03,0:28:03
1,10,Hololens,BarChart,Open,0:29:27,0:31:27
1,11,Hololens,BarChart,Open,0:33:09,0:33:57
1,12,Hololens,ScatterPlot,Closed,0:34:39,0:35:17
1,13,Desktop,BarChart,Closed,0:00:09,0:00:50
1,14,Desktop,ScatterPlot,Closed,0:01:24,0:03:24
1,15,Desktop,BarChart,Open,0:04:00,0:06:00
1,16,Desktop,Network,Open,0:06:45,0:08:36
1,17,Desktop,BarChart,Closed,0:09:00,0:09:51
2,1,Desktop,Network,Closed,0:01:32,0:03:32
2,2,Desktop,BarChart,Closed,0:04:58,0:05:56
2,3,Desktop,ScatterPlot,Closed,0:06:55,0:07:26
2,4,Desktop,BarChart,Open,0:08:47,0:10:47
2,5,Desktop,BarChart,Closed,0:11:56,0:12:46
2,6,Desktop,ScatterPlot,Open,0:13:52,0:15:52
2,7,Desktop,ScatterPlot,Closed,0:17:12,0:17:38
2,8,Desktop,Network,Open,0:18:28,0:20:28
2,9,Desktop,Network,Closed,0:21:44,0:23:44
2,10,Desktop,BarChart,Open,0:24:42,0:25:28
2,11,Desktop,ScatterPlot,Open,0:26:03,0:28:03
2,12,Desktop,Network,Open,0:29:21,0:30:35
2,13,Hololens,Network,Closed,-0:00:20,0:01:18
2,14,Hololens,BarChart,Open,0:03:05,0:04:40
2,15,Hololens,ScatterPlot,Closed,0:05:42,0:07:18
2,16,Hololens,ScatterPlot,Closed,0:08:09,0:08:17
2,17,Hololens,BarChart,Closed,0:08:52,0:09:38
2,18,Hololens,BarChart,Open,0:10:21,0:10:56
2,19,Hololens,Network,Open,0:11:35,0:12:23
2,20,Hololens,ScatterPlot,Open,0:13:00,0:13:53
2,21,Hololens,BarChart,Closed,0:14:30,0:15:13
2,22,Hololens,ScatterPlot,Open,0:15:57,0:17:28
2,23,Hololens,Network,Open,0:19:19,0:20:03
2,24,Hololens,Network,Closed,0:20:47,0:21:35
3,1,Desktop,BarChart,Closed,0:01:43,0:03:43
3,2,Desktop,BarChart,Closed,0:04:54,0:06:02
3,3,Desktop,ScatterPlot,Closed,0:07:00,0:08:52
3,4,Desktop,Network,Closed,0:10:00,0:12:00
3,5,Desktop,ScatterPlot,Open,0:13:25,0:15:25
3,6,Desktop,BarChart,Open,0:15:58,0:17:58
3,7,Desktop,Network,Open,0:18:58,0:20:58
3,8,Desktop,Network,Open,0:21:45,0:23:45
3,9,Desktop,BarChart,Open,0:24:23,0:26:23
3,10,Desktop,ScatterPlot,Open,0:27:46,0:29:46
3,11,Desktop,Network,Closed,0:31:09,0:33:09
3,12,Desktop,ScatterPlot,Closed,0:34:10,0:36:10
3,13,Hololens,ScatterPlot,Open,0:00:48,0:02:48
3,14,Hololens,BarChart,Closed,0:04:47,0:05:41
3,15,Hololens,ScatterPlot,Closed,0:06:29,0:08:15
3,16,Hololens,BarChart,Open,0:09:00,0:10:08
3,17,Hololens,Network,Closed,0:11:08,0:13:08
3,18,Hololens,BarChart,Closed,0:14:47,0:16:20
3,19,Hololens,ScatterPlot,Closed,0:17:16,0:18:02
3,20,Hololens,Network,Open,0:19:29,0:20:43
3,21,Hololens,Network,Closed,0:22:10,0:24:10
3,22,Hololens,BarChart,Open,0:25:05,0:26:30
3,23,Hololens,ScatterPlot,Open,0:27:14,0:28:42
3,24,Hololens,Network,Open,0:29:14,0:30:23
4,1,Hololens,BarChart,Open,0:00:43,0:02:43
4,2,Hololens,Network,Closed,0:04:44,0:06:44
4,3,Hololens,BarChart,Open,0:09:12,0:11:12
4,4,Hololens,BarChart,Closed,0:12:08,0:12:38
4,5,Hololens,Network,Open,0:13:16,0:15:16
4,6,Hololens,Network,Open,0:16:33,0:18:33
4,7,Hololens,Network,Closed,0:20:02,0:22:02
4,8,Hololens,ScatterPlot,Closed,0:23:13,0:24:28
4,9,Hololens,ScatterPlot,Open,0:25:30,0:26:37
4,10,Hololens,ScatterPlot,Closed,0:27:16,0:28:38
4,11,Hololens,BarChart,Closed,0:29:17,0:30:22
4,12,Hololens,ScatterPlot,Open,0:31:22,0:33:18
4,13,Desktop,ScatterPlot,Open,0:00:13,0:01:21
4,14,Desktop,Network,Open,0:02:28,0:03:41
4,15,Desktop,BarChart,Closed,0:04:26,0:05:22
4,16,Desktop,Network,Closed,0:06:12,0:08:12
4,17,Desktop,ScatterPlot,Closed,0:08:47,0:09:58
4,18,Desktop,Network,Open,0:10:44,0:12:06
4,19,Desktop,ScatterPlot,Open,0:12:43,0:14:00
4,20,Desktop,BarChart,Closed,0:14:37,0:15:29
4,21,Desktop,BarChart,Open,0:15:56,0:17:38
4,22,Desktop,ScatterPlot,Closed,0:18:15,0:19:50
4,23,Desktop,Network,Closed,0:20:32,0:22:32
4,24,Desktop,BarChart,Open,0:23:18,0:24:42
5,1,Hololens,BarChart,Open,0:00:23,0:02:23
5,2,Hololens,ScatterPlot,Open,0:05:38,0:07:32
5,3,Hololens,Network,Closed,0:08:31,0:10:25
5,4,Hololens,BarChart,Open,0:12:46,0:14:00
5,5,Hololens,Network,Open,0:14:44,0:16:44
5,6,Hololens,BarChart,Closed,0:17:35,0:17:37
5,7,Hololens,ScatterPlot,Closed,0:18:37,0:19:03
5,8,Hololens,ScatterPlot,Open,0:20:19,0:21:12
5,9,Hololens,BarChart,Closed,0:22:03,0:23:03
5,10,Hololens,Network,Closed,0:24:48,0:26:32
5,11,Hololens,ScatterPlot,Closed,0:27:31,0:29:10
5,12,Hololens,Network,Open,0:30:14,0:31:11
5,13,Desktop,Network,Open,0:00:13,0:02:13
5,14,Desktop,ScatterPlot,Closed,0:03:21,0:05:21
5,15,Desktop,BarChart,Open,0:08:29,0:10:11
5,16,Desktop,ScatterPlot,Open,0:11:17,0:12:45
5,17,Desktop,BarChart,Closed,0:13:42,0:15:08
5,18,Desktop,Network,Closed,0:15:38,0:17:33
5,19,Desktop,ScatterPlot,Closed,0:18:20,0:19:23
5,20,Desktop,BarChart,Closed,0:19:51,0:20:26
5,21,Desktop,Network,Open,0:21:23,0:22:50
5,22,Desktop,Network,Closed,0:23:30,0:25:16
5,23,Desktop,ScatterPlot,Open,0:25:52,0:26:49
5,24,Desktop,BarChart,Open,0:27:34,0:28:19
6,1,Desktop,Network,Closed,0:00:10,0:02:10
6,2,Desktop,BarChart,Open,0:03:22,0:05:22
6,3,Desktop,Network,Open,0:06:28,0:08:25
6,4,Desktop,Network,Closed,0:09:29,0:10:29
6,5,Desktop,ScatterPlot,Closed,0:12:09,0:14:09
6,6,Desktop,ScatterPlot,Closed,0:15:13,0:16:43
6,7,Desktop,BarChart,Closed,0:21:40,0:22:03
6,8,Desktop,BarChart,Closed,0:22:32,0:24:21
6,9,Desktop,ScatterPlot,Open,0:24:59,0:26:59
6,10,Desktop,ScatterPlot,Open,0:28:02,0:30:02
6,11,Desktop,BarChart,Open,0:31:15,0:33:00
6,12,Desktop,Network,Open,0:33:57,0:35:14
6,13,Hololens,Network,Open,0:01:02,0:02:15
6,14,Hololens,ScatterPlot,Open,0:03:55,0:05:42
6,15,Hololens,BarChart,Closed,0:06:31,0:08:00
6,16,Hololens,ScatterPlot,Closed,0:08:44,0:10:26
6,17,Hololens,BarChart,Closed,0:11:14,0:13:14
6,18,Hololens,BarChart,Open,0:14:31,0:16:31
6,19,Hololens,Network,Closed,0:17:30,0:19:02
6,20,Hololens,Network,Open,0:20:00,0:22:00
6,21,Hololens,BarChart,Open,0:23:13,0:25:13
6,22,Hololens,Network,Closed,0:26:08,0:28:01
6,23,Hololens,ScatterPlot,Closed,0:28:37,0:30:37
6,24,Hololens,ScatterPlot,Open,0:31:30,0:32:27
7,1,Desktop,BarChart,Open,0:01:09,0:03:09
7,2,Desktop,ScatterPlot,Closed,0:01:24,0:02:53
7,3,Desktop,Network,Open,0:04:02,0:04:57
7,4,Desktop,BarChart,Closed,0:05:41,0:06:38
7,5,Desktop,BarChart,Open,0:07:35,0:09:01
7,6,Desktop,Network,Closed,0:10:08,0:11:48
7,7,Desktop,BarChart,Closed,0:14:05,0:14:37
7,8,Desktop,Network,Closed,0:15:27,0:16:56
7,9,Desktop,ScatterPlot,Open,0:17:49,0:19:49
7,10,Desktop,Network,Open,0:20:55,0:22:30
7,11,Desktop,ScatterPlot,Open,0:23:18,0:24:56
7,12,Desktop,ScatterPlot,Closed,0:25:35,0:26:34
7,13,Hololens,BarChart,Open,0:00:20,0:01:21
7,14,Hololens,Network,Open,0:03:00,0:04:15
7,15,Hololens,BarChart,Closed,0:05:32,0:07:09
7,16,Hololens,Network,Closed,0:08:54,0:10:16
7,17,Hololens,Network,Closed,0:14:51,0:15:34
7,18,Hololens,ScatterPlot,Open,0:17:02,0:18:40
7,19,Hololens,ScatterPlot,Closed,0:19:14,0:19:56
7,20,Hololens,BarChart,Closed,0:20:41,0:21:00
7,21,Hololens,ScatterPlot,Open,0:21:47,0:23:30
8,1,Hololens,ScatterPlot,Closed,0:00:16,0:02:16
8,2,Hololens,ScatterPlot,Closed,0:04:49,0:05:57
8,3,Hololens,BarChart,Closed,0:07:15,0:08:16
8,4,Hololens,Network,Open,0:09:35,0:11:35
8,5,Hololens,ScatterPlot,Open,0:12:40,0:14:40
8,6,Hololens,BarChart,Open,0:15:31,0:16:52
8,7,Hololens,Network,Closed,0:18:18,0:20:36
8,8,Hololens,Network,Open,0:21:40,0:23:23
8,9,Hololens,Network,Closed,0:24:18,0:25:32
8,10,Hololens,BarChart,Open,0:26:10,0:28:10
8,11,Hololens,BarChart,Closed,0:29:48,0:31:36
8,12,Hololens,ScatterPlot,Open,0:32:30,0:34:18
8,13,Desktop,Network,Closed,0:00:16,0:02:16
8,14,Desktop,ScatterPlot,Closed,0:03:42,0:05:42
8,15,Desktop,Network,Open,0:06:33,0:08:33
8,16,Desktop,BarChart,Open,0:09:37,0:11:13
8,17,Desktop,ScatterPlot,Open,0:11:48,0:13:06
8,18,Desktop,ScatterPlot,Closed,0:13:28,0:14:38
8,19,Desktop,Network,Open,0:15:19,0:17:02
8,20,Desktop,BarChart,Open,0:17:28,0:17:52
8,21,Desktop,ScatterPlot,Open,0:18:33,0:19:19
8,22,Desktop,BarChart,Closed,0:20:03,0:20:19
8,23,Desktop,Network,Closed,0:21:02,0:22:00
8,24,Desktop,BarChart,Closed,0:22:31,0:22:55
9,1,Hololens,ScatterPlot,Open,-0:00:20,0:01:20
9,2,Hololens,BarChart,Open,0:03:33,0:05:33
9,3,Hololens,ScatterPlot,Closed,0:06:11,0:08:11
9,4,Hololens,ScatterPlot,Closed,0:10:10,0:10:16
9,5,Hololens,BarChart,Closed,0:11:11,0:11:22
9,6,Hololens,Network,Open,0:13:08,0:15:08
9,7,Hololens,ScatterPlot,Open,0:15:58,0:17:19
9,8,Hololens,Network,Open,0:18:05,0:18:53
9,9,Hololens,BarChart,Closed,0:19:17,0:19:40
9,10,Hololens,Network,Closed,0:20:14,0:21:10
9,11,Hololens,Network,Closed,0:22:00,0:24:00
9,12,Hololens,BarChart,Open,0:24:56,0:25:51
9,13,Desktop,Network,Open,0:00:18,0:01:28
9,14,Desktop,ScatterPlot,Closed,0:02:43,0:04:43
9,15,Desktop,BarChart,Open,0:05:14,0:05:48
9,16,Desktop,Network,Open,0:06:16,0:08:01
9,17,Desktop,BarChart,Closed,0:08:36,0:10:36
9,18,Desktop,ScatterPlot,Closed,0:11:14,0:12:32
9,19,Desktop,ScatterPlot,Open,0:13:59,0:14:33
9,20,Desktop,ScatterPlot,Open,0:15:27,0:15:55
